0 予約データ(使用禁止
1 本番用
10 関数テスト１
11 関数テスト２
12 関数テスト３
1000000 [無強化] ステータス影響なし
1000001 [魔法] ステータス影響なし
1000002 [雷] ステータス影響なし
1000003 [炎] ステータス影響なし
1000004 [闇] ステータス影響なし
1000005 [毒] ステータス影響なし
1000006 [出血] ステータス影響なし
1000007 [粗製] ステータス影響なし
1000008 [魔力] ステータス影響なし
1000009 [深淵] ステータス影響なし
2005049 [初属B：深淵] 初期属性：筋力E 技量
2005060 [無強化] 初期属性：筋力E 技量
2005061 [初属B：魔法] 初期属性：筋力E 技量
2005062 [初属B：雷] 初期属性：筋力E 技量
2005063 [初属B：炎] 初期属性：筋力E 技量
2005064 [初属B：闇] 初期属性：筋力E 技量
2005065 [初属B：毒] 初期属性：筋力E 技量
2005066 [初属B：出血] 初期属性：筋力E 技量
2005067 [初属B：粗製] 初期属性：筋力E 技量
2005068 [初属B：魔力] 初期属性：筋力E 技量
2005069 [初属B：深淵] 初期属性：筋力E 技量
2006020 [無強化] 初期属性：筋力- 技量
2006021 [初属B：魔法] 初期属性：筋力- 技量
2006022 [初属B：雷] 初期属性：筋力- 技量
2006023 [初属B：炎] 初期属性：筋力- 技量
2006024 [初属B：闇] 初期属性：筋力- 技量
2006025 [初属B：毒] 初期属性：筋力- 技量
2006026 [初属B：出血] 初期属性：筋力- 技量
2006027 [初属B：粗製] 初期属性：筋力- 技量
2006028 [初属B：魔力] 初期属性：筋力- 技量
2006029 [初属B：深淵] 初期属性：筋力- 技量
2006040 [無強化] ファントムメイジの小盾：刀：筋力- 技量
2006041 [初属C：魔法] ファントムメイジの小盾：刀：筋力- 技量
2006042 [初属C：雷] ファントムメイジの小盾：刀：筋力- 技量
2006043 [初属C：炎] ファントムメイジの小盾：刀：筋力- 技量
2006044 [初属C：闇] ファントムメイジの小盾：刀：筋力- 技量
2006045 [初属C：毒] ファントムメイジの小盾：刀：筋力- 技量
2006046 [初属C：出血] ファントムメイジの小盾：刀：筋力- 技量
2006047 [初属C：粗製] ファントムメイジの小盾：刀：筋力- 技量
2006048 [初属C：魔力] ファントムメイジの小盾：刀：筋力- 技量
2006049 [初属C：深淵] ファントムメイジの小盾：刀：筋力- 技量
2103050 [無強化] イモータルの片手斧：筋力C 技量
2103051 [イモータルの片手斧：魔法] イモータルの片手斧：筋力C 技量
2103052 [イモータルの片手斧：雷] イモータルの片手斧：筋力C 技量
2103053 [イモータルの片手斧：炎] イモータルの片手斧：筋力C 技量
2103054 [イモータルの片手斧：闇] イモータルの片手斧：筋力C 技量
2103055 [イモータルの片手斧：毒] イモータルの片手斧：筋力C 技量
2103056 [イモータルの片手斧：出血] イモータルの片手斧：筋力C 技量
2103057 [イモータルの片手斧：粗製] イモータルの片手斧：筋力C 技量
2103058 [イモータルの片手斧：魔力] イモータルの片手斧：筋力C 技量
2103059 [イモータルの片手斧：深淵] イモータルの片手斧：筋力C 技量
2103090 [無強化] 初期属性：特大：筋力C 技量
2103091 [初属B：魔法] 初期属性：特大：筋力C 技量
2103092 [初属B：雷] 初期属性：特大：筋力C 技量
2103093 [初属B：炎] 初期属性：特大：筋力C 技量
2103094 [初属B：闇] 初期属性：特大：筋力C 技量
2103095 [初属B：毒] 初期属性：特大：筋力C 技量
2103096 [初属B：出血] 初期属性：特大：筋力C 技量
2103097 [初属B：粗製] 初期属性：特大：筋力C 技量
2103098 [初属B：魔力] 初期属性：特大：筋力C 技量
2103099 [初属B：深淵] 初期属性：特大：筋力C 技量
2104000 [無強化] 縛られた小盾：筋力D 技量
2104001 [初属C：魔法] 縛られた小盾：筋力D 技量
2104002 [初属C：雷] 縛られた小盾：筋力D 技量
2104003 [初属C：炎] 縛られた小盾：筋力D 技量
2104004 [初属C：闇] 縛られた小盾：筋力D 技量
2104005 [初属C：毒] 縛られた小盾：筋力D 技量
2104006 [初属C：出血] 縛られた小盾：筋力D 技量
2104007 [初属C：粗製] 縛られた小盾：筋力D 技量
2104008 [初属C：魔力] 縛られた小盾：筋力D 技量
2104009 [初属C：深淵] 縛られた小盾：筋力D 技量
2105030 [無強化] 初期属性：刀：筋力E 技量
2105031 [初属C：魔法] 初期属性：刀：筋力E 技量
2105032 [初属C：雷] 初期属性：刀：筋力E 技量
2105033 [初属C：炎] 初期属性：刀：筋力E 技量
2105034 [初属C：闇] 初期属性：刀：筋力E 技量
2105035 [初属C：毒] 初期属性：刀：筋力E 技量
2105036 [初属C：出血] 初期属性：刀：筋力E 技量
2105037 [初属C：粗製] 初期属性：刀：筋力E 技量
2105038 [初属C：魔力] 初期属性：刀：筋力E 技量
2105039 [初属C：深淵] 初期属性：刀：筋力E 技量
2203050 [無強化] 初期属性：特大：筋力C 技量
2203051 [初属B：魔法] 初期属性：特大：筋力C 技量
2203052 [初属B：雷] 初期属性：特大：筋力C 技量
2203053 [初属B：炎] 初期属性：特大：筋力C 技量
2203054 [初属B：闇] 初期属性：特大：筋力C 技量
2203055 [初属B：毒] 初期属性：特大：筋力C 技量
2203056 [初属B：出血] 初期属性：特大：筋力C 技量
2203057 [初属B：粗製] 初期属性：特大：筋力C 技量
2203058 [初属B：魔力] 初期属性：特大：筋力C 技量
2203059 [初属B：深淵] 初期属性：特大：筋力C 技量
2204040 [無強化] 初期属性：特大：筋力D 技量
2204041 [初属B：魔法] 初期属性：特大：筋力D 技量
2204042 [初属B：雷] 初期属性：特大：筋力D 技量
2204043 [初属B：炎] 初期属性：特大：筋力D 技量
2204044 [初属B：闇] 初期属性：特大：筋力D 技量
2204045 [初属B：毒] 初期属性：特大：筋力D 技量
2204046 [初属B：出血] 初期属性：特大：筋力D 技量
2204047 [初属B：粗製] 初期属性：特大：筋力D 技量
2204048 [初属B：魔力] 初期属性：特大：筋力D 技量
2204049 [初属B：深淵] 初期属性：特大：筋力D 技量
3003000 [無強化] 火鳥の小盾：筋力C 技量
3003001 [初属C：魔法] 火鳥の小盾：筋力C 技量
3003002 [初属C：雷] 火鳥の小盾：筋力C 技量
3003003 [初属C：炎] 火鳥の小盾：筋力C 技量
3003004 [初属C：闇] 火鳥の小盾：筋力C 技量
3003005 [初属C：毒] 火鳥の小盾：筋力C 技量
3003006 [初属C：出血] 火鳥の小盾：筋力C 技量
3003007 [初属C：粗製] 火鳥の小盾：筋力C 技量
3003008 [初属C：魔力] 火鳥の小盾：筋力C 技量
3003009 [初属C：深淵] 火鳥の小盾：筋力C 技量
3003050 [無強化] ミラーナイトの両手剣：筋力C 技量
3003051 [ミラーナイト：魔法] ミラーナイトの両手剣：筋力C 技量
3003052 [ミラーナイト：雷] ミラーナイトの両手剣：筋力C 技量
3003053 [ミラーナイト：炎] ミラーナイトの両手剣：筋力C 技量
3003054 [ミラーナイト：闇] ミラーナイトの両手剣：筋力C 技量
3003055 [ミラーナイト：毒] ミラーナイトの両手剣：筋力C 技量
3003056 [ミラーナイト：出血] ミラーナイトの両手剣：筋力C 技量
3003057 [ミラーナイト：粗製] ミラーナイトの両手剣：筋力C 技量
3003058 [ミラーナイト：魔力] ミラーナイトの両手剣：筋力C 技量
3003059 [ミラーナイト：深淵] ミラーナイトの両手剣：筋力C 技量
3004000 [無強化] デーモンの大盾B：筋力D 技量
3004001 [初属B：魔法] デーモンの大盾B：筋力D 技量
3004002 [初属B：雷] デーモンの大盾B：筋力D 技量
3004003 [初属B：炎] デーモンの大盾B：筋力D 技量
3004004 [初属B：闇] デーモンの大盾B：筋力D 技量
3004005 [初属B：毒] デーモンの大盾B：筋力D 技量
3004006 [初属B：出血] デーモンの大盾B：筋力D 技量
3004007 [初属B：粗製] デーモンの大盾B：筋力D 技量
3004008 [初属B：魔力] デーモンの大盾B：筋力D 技量
3004009 [初属B：深淵] デーモンの大盾B：筋力D 技量
3004030 [無強化] 重騎馬兵の双刃剣：筋力D 技量
3004031 [重騎馬兵の双刃剣：魔法] 重騎馬兵の双刃剣：筋力D 技量
3004032 [重騎馬兵の双刃剣：雷] 重騎馬兵の双刃剣：筋力D 技量
3004033 [重騎馬兵の双刃剣：炎] 重騎馬兵の双刃剣：筋力D 技量
3004034 [重騎馬兵の双刃剣：闇] 重騎馬兵の双刃剣：筋力D 技量
3004035 [重騎馬兵の双刃剣：毒] 重騎馬兵の双刃剣：筋力D 技量
3004036 [重騎馬兵の双刃剣：出血] 重騎馬兵の双刃剣：筋力D 技量
3004037 [重騎馬兵の双刃剣：粗製] 重騎馬兵の双刃剣：筋力D 技量
3004038 [重騎馬兵の双刃剣：魔力] 重騎馬兵の双刃剣：筋力D 技量
3004039 [重騎馬兵の双刃剣：深淵] 重騎馬兵の双刃剣：筋力D 技量
